timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-02-21T23:01:17.030860,Grid,"Sampaloc, Manila",2.3736,38,58,123,628,5.5098,33,628
2025-02-21T23:01:30.275090,Grid,"Sampaloc, Manila",2.3671,38,58,123,628,5.5221,33,628
2025-02-21T23:01:43.566428,Grid,"Sampaloc, Manila",2.3678,38,58,123,628,5.5543,33,628
2025-02-21T23:01:56.791334,Grid,"Sampaloc, Manila",2.3655,38,58,123,628,5.5257,33,628
2025-02-21T23:02:10.029656,Grid,"Sampaloc, Manila",2.3645,38,58,123,628,5.516,33,628
2025-02-21T23:02:23.268583,Grid,"Sampaloc, Manila",2.3618,38,58,123,628,5.5729,33,628
2025-02-21T23:02:36.577710,Grid,"Sampaloc, Manila",2.3862,38,58,123,628,5.648,33,628
2025-02-21T23:02:49.809346,Grid,"Sampaloc, Manila",2.3892,38,58,123,628,5.5475,33,628
2025-02-21T23:03:03.049145,Grid,"Sampaloc, Manila",2.3575,38,58,123,628,5.5186,33,628
2025-02-21T23:03:16.306397,Grid,"Sampaloc, Manila",2.3718,38,58,123,628,5.5118,33,628
2025-02-21T23:03:29.583876,Grid,"Sampaloc, Manila",2.3572,38,58,123,628,5.5381,33,628
2025-02-21T23:03:42.933173,Grid,"Sampaloc, Manila",2.3856,38,58,123,628,5.5496,33,628
2025-02-21T23:03:56.165574,Grid,"Sampaloc, Manila",2.3639,38,58,123,628,5.5086,33,628
2025-02-21T23:04:09.446563,Grid,"Sampaloc, Manila",2.3695,38,58,123,628,5.5236,33,628
2025-02-21T23:04:22.701103,Grid,"Sampaloc, Manila",2.3627,38,58,123,628,5.5365,33,628
2025-02-21T23:04:36.005177,Grid,"Sampaloc, Manila",2.3753,38,58,123,628,5.5532,33,628
2025-02-21T23:04:49.261190,Grid,"Sampaloc, Manila",2.3633,38,58,123,628,5.5453,33,628
2025-02-21T23:05:02.604688,Grid,"Sampaloc, Manila",2.3741,38,58,123,628,5.5378,33,628
2025-02-21T23:05:15.884189,Grid,"Sampaloc, Manila",2.3601,38,58,123,628,5.5566,33,628
2025-02-21T23:05:29.089490,Grid,"Sampaloc, Manila",2.3542,38,58,123,628,5.5147,33,628
2025-02-21T23:05:42.345266,Grid,"Sampaloc, Manila",2.3715,38,58,123,628,5.5187,33,628
2025-02-21T23:05:55.621075,Grid,"Sampaloc, Manila",2.3839,38,58,123,628,5.5456,33,628
2025-02-21T23:06:08.828278,Grid,"Sampaloc, Manila",2.3634,38,58,123,628,5.478,33,628
2025-02-21T23:06:22.093320,Grid,"Sampaloc, Manila",2.3611,38,58,123,628,5.5911,33,628
2025-02-21T23:06:35.326898,Grid,"Sampaloc, Manila",2.3721,38,58,123,628,5.5974,33,628
2025-02-21T23:06:48.495152,Grid,"Sampaloc, Manila",2.3614,38,58,123,628,5.4972,33,628
2025-02-21T23:07:01.677716,Grid,"Sampaloc, Manila",2.3608,38,58,123,628,5.4688,33,628
2025-02-21T23:07:14.900242,Grid,"Sampaloc, Manila",2.3775,38,58,123,628,5.4982,33,628
2025-02-21T23:07:28.118097,Grid,"Sampaloc, Manila",2.3619,38,58,123,628,5.5073,33,628
2025-02-21T23:07:41.432077,Grid,"Sampaloc, Manila",2.4041,38,58,123,628,5.5334,33,628
2025-02-21T23:07:54.740844,Grid,"Sampaloc, Manila",2.3901,38,58,123,628,5.5547,33,628
